,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
rosgraph_msgs,"('rosgraph_msgs', 1.0)","('geographic_msgs', 0.8712704926001548)","('wireless_msgs', 0.8506286072594248)","('applanix_msgs', 0.8387408816667294)","('r2_msgs', 0.8378650145432031)","('jaguar_msgs', 0.8340705852289911)","('feed_the_troll_msgs', 0.8283589403123293)","('novatel_gps_msgs', 0.8240992846014177)","('four_wheel_steering_msgs', 0.8074769146645564)","('md49_messages', 0.7981023345652348)","('ackermann_msgs', 0.7839531322883767)","('rosruby_messages', 0.773861533115517)","('ibeo_msgs', 0.7598124337875096)","('pyros_msgs', 0.7513871193654261)","('people_msgs', 0.7386424829791876)","('tango_ros_messages', 0.7286912330560786)","('rail_pick_and_place_msgs', 0.6965280733488837)","('nmea_msgs', 0.6726242734014724)","('play_motion_msgs', 0.6664450760991935)","('ros_type_introspection', 0.6649738740368487)"
dynamixel_workbench_controllers,"('dynamixel_workbench_controllers', 1.0)","('dynamixel_workbench', 0.9044159438519049)","('dynamixel_workbench_msgs', 0.8662790264345352)","('dynamixel_workbench_single_manager', 0.8334827980058468)","('dynamixel_sdk', 0.8250892348778469)","('turtlebot3_panorama', 0.8117325951974625)","('robotis_framework_common', 0.7942194558688955)","('ros_mpg321_player', 0.7886270393672558)","('rh_p12_rn', 0.7843912458441108)","('turtlebot3_autorace_control', 0.7693940680700951)","('robotis_framework', 0.7653754826004517)","('open_cr_module', 0.7635460062034964)","('open_manipulator_msgs', 0.7592774741983549)","('rh_p12_rn_manager', 0.7507662046917051)","('robotis_op3', 0.749257558948988)","('open_manipulator_gazebo', 0.747167010318899)","('rh_p12_rn_base_module', 0.7450807585702804)","('thormang3_mpc', 0.7431705149849323)","('thormang3_ppc', 0.7392244321530278)","('turtlebot3_teleop', 0.739201481993143)"
aruco_ros,"('aruco', 1.0)","('ar_sys', 0.9345172420842102)","('yocs_ar_marker_tracking', 0.8166312760213541)","('tuw_marker_pose_estimation', 0.7999487556788358)","('pose_cov_ops', 0.7712535329257848)","('fiducial_pose', 0.7627643262929742)","('yocs_ar_pair_tracking', 0.751310127377234)","('outlet_pose_estimation', 0.7229004211919208)","('visual_pose_estimation', 0.7193847002257268)","('bin_pose_emulator', 0.7028947131159686)","('fiducial_lib', 0.6970261684919442)","('ar_track_alvar', 0.6255900006589067)","('look_at_pose', 0.6035517651064751)","('ar_track_alvar_msgs', 0.5727072172702932)","('tuw_marker_detection', 0.5531235152692285)","('robot_markers', 0.5376211061303875)","('yocs_diff_drive_pose_controller', 0.532206361533687)","('hector_quadrotor_pose_estimation', 0.5137426278806139)","('osg_markers', 0.49591622229986787)","('interactive_markers', 0.47632553928566157)"
webtest,"('webtest', 1.0)","('rostest', 0.6739344796034736)","('genty', 0.6574253740019692)","('test_diagnostic_aggregator', 0.6290119414350591)","('log_server', 0.6009497526841902)","('bus_server', 0.5908712970820813)","('catch_ros', 0.5609090887803402)","('sr_self_test', 0.544168595914625)","('hironx_rpc_server', 0.5378756838635259)","('rosserial_server', 0.5208328807043445)","('rosweb', 0.5130511052266331)","('topic_proxy', 0.5087380479659149)","('variant_topic_test', 0.4957745566168179)","('destruction_scenarios', 0.47646044140788346)","('ros_package_web_server', 0.4722811632762024)","('combined_robot_hw_tests', 0.46385719135172143)","('driver_base', 0.4579848345671357)","('rosbridge_suite', 0.4523783805991475)","('sicktoolbox', 0.44267992001354384)","('rosbridge_server', 0.4189904807906588)"
safe_teleop_base,"('safe_teleop_base', 1.0)","('teleop_twist_keyboard', 0.6840480083349295)","('loki_teleop', 0.6760185256459247)","('teleop_twist_joy', 0.6661427645763837)","('magni_teleop', 0.6424740891699227)","('dr_base', 0.6237600189268304)","('rb1_base_purepursuit', 0.6127310969065795)","('rmp_teleop', 0.6104575672318101)","('kingfisher_teleop', 0.606802815974786)","('rb1_base_pad', 0.5999228908894975)","('featurenav_base', 0.5783791306164286)","('rocon_qt_teleop', 0.5412432114535797)","('bwi_joystick_teleop', 0.5358183728946574)","('loki_base_node', 0.5220831848112215)","('pr2_teleop_general', 0.5152092835868808)","('yocs_keyop', 0.5131832826356556)","('concert_service_teleop', 0.49130025335308725)","('pr2_teleop_app', 0.4884245838505541)","('rb1_base_control', 0.4811721569169254)","('katana_teleop', 0.4673986771462938)"
thormang3_imu_3dm_gx4,"('thormang3_imu_3dm_gx4', 1.0)","('ros_madplay_player', 0.813910794114055)","('sensor_module_tutorial', 0.8103611364767945)","('thormang3_mpc_sensors', 0.7982659316426697)","('thormang3_ppc', 0.7927127182373198)","('rh_p12_rn_base_module', 0.7845534069612742)","('thormang3_msgs', 0.7800131037444574)","('motion_module_tutorial', 0.7745005784021554)","('thormang3_gripper_module', 0.7709868388139577)","('thormang3_common', 0.76702074295524)","('robotis_framework', 0.7615163194175048)","('robotis_op3', 0.7557354452852473)","('thormang3_foot_step_generator', 0.7537100798617593)","('dynamixel_sdk', 0.7473681141551987)","('open_manipulator_position_ctrl', 0.7458258107198491)","('robotis_op3_msgs', 0.7443746397668742)","('thormang3_base_module', 0.7432503734158447)","('robotis_controller', 0.7397537030858277)","('robotis_op3_tools', 0.7385498815820497)","('robotis_framework_common', 0.7364121264851529)"
robot_controllers_interface,"('robot_controllers_interface', 1.0)","('open_controllers_interface', 0.8715165680639609)","('effort_controllers', 0.7811413112232415)","('velocity_controllers', 0.7604734822455782)","('ros_controllers', 0.7410287007922965)","('ethercat_trigger_controllers', 0.6687686616494504)","('robot_mechanism_controllers', 0.5871206594398409)","('oculusprime', 0.5805207147911421)","('iiwa', 0.5691013879819531)","('open_industrial_ros_controllers', 0.5570307050214843)","('wxpython_swig_interface', 0.5500375436924159)","('spacenav_node', 0.4991381727625843)","('pr2_calibration_controllers', 0.48920030692077965)","('arbotix_python', 0.48853575903454405)","('sr_gui_change_controllers', 0.4842916010047993)","('warthog_control', 0.4790326083224077)","('sr_gui_change_muscle_controllers', 0.46802187237510096)","('pr2_controllers_msgs', 0.4541927314403127)","('orogen', 0.45195896038801475)","('rosflight_pkgs', 0.4428118646042425)"
eigen_conversions,"('eigen_conversions', 1.0)","('eigen_typekit', 0.8120468834339027)","('eigen_utils', 0.7128734215698249)","('sophus_ros_conversions', 0.6820256485373118)","('ecl_eigen', 0.6488757427353131)","('tf2_geometry_msgs', 0.6198210347809664)","('kdl_parser', 0.6095648709586589)","('kdl_parser_py', 0.5807803191678645)","('ecl_geometry', 0.5390402428360628)","('rtt_kdl_conversions', 0.5192588044574313)","('ecl_converters', 0.49545461669506174)","('ecl_converters_lite', 0.4817530813253892)","('tf_conversions', 0.47782428762817397)","('teraranger_array_converter', 0.4734886890677019)","('convenience_ros_functions', 0.461535973092845)","('kdl', 0.4513449381789343)","('turtle_tf2', 0.444141783350015)","('trac_ik_lib', 0.44343730154052285)","('tf2_py', 0.439332184576245)","('orocos_kinematics_dynamics', 0.43493815884148646)"
image_rotate,"('image_rotate', 1.0)","('cv_camera', 0.8161976515902846)","('image_pipeline', 0.7986965121064733)","('uvc_camera', 0.7537351541848211)","('stereo_synchronizer', 0.7187990521914327)","('polled_camera', 0.7026353680152053)","('image_overlay_scale_and_compass', 0.6877984235451527)","('wge100_camera', 0.6808718387501992)","('rosbag_image_compressor', 0.6647660441260548)","('imagesift', 0.6577649386543218)","('multires_image', 0.6481013295742505)","('imagezero', 0.6437001004192734)","('cob_image_flip', 0.630235141049119)","('image_exposure_msgs', 0.6287342201793522)","('image_stream', 0.6267215394646384)","('theora_image_transport', 0.6244503516530746)","('rwt_image_view', 0.6094803231288595)","('aras_visual_servo_camera', 0.602992584194562)","('prosilica_camera', 0.5970584714674143)","('libuvc_camera', 0.5904619958815966)"
click,"('click', 1.0)","('frontier_exploration', 0.9590431765674271)","('husky_base', 0.9499970093246496)","('desktop', 0.9446617325048369)","('husky_viz', 0.942368524857132)","('husky_simulator', 0.9410787972392831)","('husky_gazebo', 0.937794795015049)","('husky_navigation', 0.9338972347277154)","('clearpath_base', 0.929599509201086)","('husky_msgs', 0.913993520468357)","('jackal_simulator', 0.9018033732856442)","('gmapping', 0.8903698765813212)","('rosout', 0.884462291197188)","('joy', 0.8727416027121916)","('mobile', 0.8629744398794044)","('catkin', 0.8551732810318087)","('jackal_gazebo', 0.8441661826182311)","('serial', 0.8419579479743066)","('jackal_desktop', 0.832918942892532)","('navigation', 0.8299869202448007)"
pr2_plugs,"('pr2_plugs', 1.0)","('pr2_hack_the_future', 0.9255959863564055)","('pr2_props', 0.9091075482604282)","('pr2_apps', 0.8903550405378466)","('pr2_surrogate', 0.870334920202808)","('pr2_robot', 0.8594141572906929)","('pr2_pan_tilt', 0.853056276028516)","('pr2_props_app', 0.8318827665249252)","('pr2_motor_diagnostic_tool', 0.8182684106498072)","('pr2_position_scripts', 0.7749958370878227)","('pr2_mechanism', 0.762715421515624)","('pr2_dashboard_aggregator', 0.752360214373693)","('pr2_plugs_common', 0.7263154997447887)","('pr2_tuckarm', 0.7143132541890983)","('pr2_ethercat', 0.7016547275886865)","('pr2_tuck_arms_action', 0.6948655224306923)","('pr2_ps3_joystick_app', 0.6898614928754506)","('pr2_desktop', 0.6756663478040137)","('pr2_gripper_sensor', 0.6673152769102569)","('pr2_self_test_msgs', 0.6470413760644107)"
evapc_ros,"('evapc_ros', 1.0)","('evarobot_diagnostics', 0.7594530189274542)","('evarobot_state_publisher', 0.7327808435231061)","('evarobot_pose_ekf', 0.7115541758355792)","('evarobot_slam', 0.7012966584013735)","('evarobot_gazebo', 0.6202861873866374)","('world_magnetic_model', 0.5092827302951873)","('rotate_recovery', 0.4644284049593609)","('fulanghua_navigation', 0.44646465774392574)","('roomba_stage', 0.44164168503201884)","('icart_mini_navigation', 0.4205571897092728)","('homer_navigation', 0.41859944167039775)","('waypoint_meta', 0.41069656427617973)","('jackal_navigation', 0.4076257401981648)","('jaguar_navigation', 0.4038716203536161)","('social_navigation_layers', 0.38816407829093924)","('yocs_navigator', 0.38179456832686975)","('path_navigation_msgs', 0.3682638114275467)","('kobuki_random_walker', 0.36667082812147833)","('vs060', 0.3516308222413702)"
octovis,"('octovis', 1.0)","('octomap', 0.8015833858563779)","('octomap_pa', 0.7737596994167808)","('octomap_ros', 0.7679687548555978)","('parameter_pa', 0.6265735989434915)","('libg2o', 0.5637347066956508)","('nav2d_karto', 0.5457068193794116)","('uwsim_osgocean', 0.5394777773671148)","('zbar_ros', 0.5370032082133881)","('apriltags', 0.5339575089510139)","('transform_graph', 0.5295653253764714)","('uwsim_osgbullet', 0.5221491741530133)","('fcl', 0.5196064244541388)","('libsiftfast', 0.5110399284790763)","('sbpl', 0.5065045905336353)","('sklearn', 0.5037905251209022)","('gmplot', 0.49875005454504384)","('alexandria', 0.4928102927811733)","('gsd', 0.4928067819807376)","('trivial_gray_streams', 0.48884172650061264)"
